page,index,会社名,勤務地,給与
3.0,19.0,株式会社エコリング | 【大阪府緊急雇用対策に賛同】「ホワイト企業アワード2021」受賞,【九州(福岡市)・広島(広島市)・神奈川積極募集！】 ◎希望を配慮して全国の店舗(東京都、神奈川県…,"月給：25万1,500円以上＋諸手当 ※経験を考慮の上、優遇いたします ※別途時間外手当支給 ※試用期間2ヶ…"
3.0,20.0,株式会社エコリング | 大阪府緊急雇用対策に賛同｜「ホワイト企業アワード2021」受賞,【遠方からのUIターン歓迎！】 姫路本社／兵庫県姫路市飾磨区恵美酒213 ※マイカー通勤可(駐車場…,"月給：25万1,500円以上＋諸手当 ※経験を考慮の上、優遇いたします ※別途時間外手当支給 ※試用期間2ヶ…"
3.0,21.0,株式会社トライアルカンパニー | ◆残業月平均13.25h以下　◆希望のキャリアパス、働き方が選べる,配属は所在地の都道府県 ※初任地は最寄りの店舗又は希望エリアを優先し配属します ※エリア内勤務また…,月給20万3千円〜65万円 ※能力、年齢などを考慮の上、決定いたします。 ※試用期間2ヶ月（賃金同一）。 …
3.0,22.0,株式会社ＪＷソリューション | 東証一部上場を親子会に持つ安定企業｜残業月10H以下★完週休2日,★転勤なし ★I・Uターン歓迎！ 各地域の百貨店やポップアップショップ、家電量販店、キャリアショッ…,【関東】 月給22万円以上＋賞与年2回＋インセンティブ ※上記は、固定残業代（月15時間分／2万2000円以上…
3.0,23.0,ヤマダストアー株式会社 | 《黒字経営＆業績右肩上がり》圧倒的な地域信頼度の高さを誇る,《姫路市、明石市、加古川市、高砂市の各店舗に配属します》 ★神戸市に初出店！2021年11月オープ…,"◆ 月給19万4,000円〜 + 各種手当 【月収例】 月収24万5,700円（25歳／大卒／交通費含む） ※年齢・経…"
3.0,24.0,株式会社グッドワークコミュニケーションズ | 多角的な事業展開で急成長！★☆20～30代大活躍中！☆★,☆全国での勤務 ☆転勤なし ◎上京サポートも充実♪Web面接や上京支援制度（引越手当）など ▼関東…,"◆関東・東北エリア 月給251,000円（固定残業代17,000円10時間分を含） 〜月給300,000円（固定残業代20,5…"
3.0,25.0,株式会社グッドワークコミュニケーションズ | 全国の拠点で募集／上京支援あり（最大10万円）,★転勤なし ◎上京サポートも充実♪Web面接や上京支援制度（10万円）など ▼関東・関西エリアは積…,関東エリア 月給25.1万円〜 （固定残業代1.7万円〜10時間分を含む） 関西・中部エリア 月給24万円〜 （…
3.0,26.0,FUJINO HOUSE ENGINEERING株式会社 | #大阪府緊急雇用対策に賛同#シンプルワーク#Web面談#副業可,【転勤なし／直行直帰の勤務スタイル／マイカー通勤OK】 ■担当エリアは阪神間・京阪間・名古屋地区■…,月給27万円〜＋歩合給 ⇒月収例：45万円／29歳 ※経験、年齢、能力を考慮のうえ、決定します
3.0,27.0,ヤング開発株式会社 | 知名度抜群！50周年の安定企業／UIターン歓迎／WEB面接も可能,希望を考慮して兵庫県内の拠点【西明石・姫路・高砂・土山】に配属します ※マイカー通勤可 ※UIター…,月給：31万5000円〜42万円＋諸手当 ＜2年目以降の営業社員の平均年収は987万円です＞ ※試用期間は3ヶ月…
3.0,28.0,株式会社ランテック | 【大阪府緊急雇用対策に賛同】東証一部上場「センコーグループ」,【転勤なし】 ★全国各拠点にて募集中 ★希望の勤務地に配属します ★面接もご希望の拠点で実施します…,"月給151,000円〜334,800円 ＋ その他手当（ 残業等 ） ※地域によって異なります。 ※経験・年齢を考慮…"
3.0,29.0,株式会社マイナビワークス | #年間休日120日以上 #土日休み #定時退社 #在宅ワークあり,【転勤なし／希望勤務地に配属／全国募集／在宅ワークあり】 東京都（主として23区内）・神奈川県・愛…,"月給 208,000円以上 + 各種手当 + 賞与年2回（首都圏） 月給 193,000円以上 + 各種手当 + 賞与年2回（大…"
3.0,30.0,株式会社KENテクノロジー | 《東証一部上場グループ》★定着率95％超★土日祝休・残業月15h,★転勤なし ★U/Iターン歓迎 ★東京/大阪で募集！ ★勤務地は相談の上、希望を最大限考慮します。…,"月給22万2,000円〜50万円＋各種手当＋賞与 ★入社1年後に97%の社員が給与UPを実現しています。 ※上記…"
3.0,31.0,KeePer技研株式会社 | 東証一部上場｜平均年齢27.3歳！活気ある職場環境も魅力,【新店舗を続々オープン中！】 ★勤務地は希望を考慮します！ …拠点詳細… ●北海道／札幌 ●千葉県…,【 月給23万円以上 + 各種手当 + 賞与年2回 】 ●あなたの経験や能力によって話し合いのもと、当社規定…
3.0,32.0,株式会社流通サービス | 【転居を伴う転勤なし】◎退職金、保養所…etc 福利厚生は豊富！,全国の営業所(希望考慮) [岩手] 奥州市/いわて県南、北上市/花北 [東京] 町田市/町田 [埼…,月給25.5万円 (東京市部) 月給25万円 (埼玉・千葉) 月給24.7万円 (滋賀) 月給24万円 (栃木・茨城・群馬・…
3.0,33.0,アデコ株式会社 | Modis事業本部◇同期と約1ヶ月の技術研修あり/残業月平均13h,★転勤なし ★首都圏または関西・東海・福岡エリア限定採用 各エリア内の大手・優良企業での勤務となり…,月給21万1000円〜 ＋ 残業代1分単位支給 ＋ 賞与（年2回） 【モデル月収例】 ・20代(構築経験あり)：月…
3.0,34.0,株式会社ドン・キホーテ | 東証一部上場PPIHグループ/大阪府緊急雇用対策に賛同/残業少なめ,【全国47都道府県の店舗】★北海道・北関東・中四国・九州エリア積極採用中★ ※初任地は現住所から通…,月給22万〜35万円 ※月間30時間の見込み時間外手当含む（固定残業手当3万9600円〜6万2900円） ★小売業…
3.0,35.0,日本生命保険相互会社 | 転居を伴う転勤なし★仕事もプライベートも楽しむ社員が活躍中,【本部または全国の支社・ライフプラザ・コールセンター】 ※採用時の居住地から通勤可能な範囲内で、応…,"月給204,010円（首都圏、東海、近畿） 月給194,010円（上記以外）"
3.0,36.0,株式会社ドン・キホーテ | 東証一部上場PPIHグループ/大阪府緊急雇用対策に賛同/残業少なめ,【全国47都道府県の店舗】★北海道・東北・北関東・中四国・九州エリア積極採用中★ ※初任地は現住所…,月給22万〜35万円 ※月間30時間の見込み時間外手当含む（固定残業手当3万9600円〜6万2900円） ★小売業…
3.0,37.0,メットライフ生命保険株式会社 | ★完全週休2日制★賞与年4回(個人業績による)★Web面談可,【下記都道府県にて募集】※転勤なし 北海道（札幌市）、岩手県（盛岡市）、宮城県（仙台市）、山形県（…,【初任給月給】25万円または30万円 ※平均給与月額実績71.2万円（2019年度の税込定例給与実績。賞与は除…
3.0,38.0,株式会社保険デザイン | 年間休日122日／残業少なめ／産・育休完備／時短勤務制度あり,【大阪、京都、奈良、兵庫、滋賀の各ショップでの勤務】 ※U・Iターン歓迎 〜 勤務地詳細 〜 【大…,■月給22万5000円〜25万円＋各種手当＋各種インセンティブ ※みなし残業代（月30時間／5万5000円〜を含…
3.0,39.0,株式会社フレッシュ青果 | 【大阪府緊急雇用対策に賛同】★年休108日/計画有給5日/面接1回,最大限希望を考慮☆原則望まない転勤ナシ！ ★★ 積極採用中エリア ★★ 東京、大阪、名古屋、鳥取…,"□東京/月給307,000円~ □兵庫・大阪・名古屋/月給287,000円~ □福岡/月給277,000円~ □岡山・北九州・鳥…"
3.0,40.0,株式会社ワット・コンサルティング | 質の高い研修が魅力！★未経験向け研修カリキュラム期間No.1,北海道から九州まで全国各地で大募集！ ※希望を考慮し配属します。 ※UIターンを考えている方も ご…,"【未経験】 月給19万5,000円〜24万円＋住宅手当＋各種手当 【経験者】 月給24万円〜45万500円＋住宅手当…"
3.0,41.0,株式会社セノン | 大阪府緊急雇用対策に賛同／賞与最大年3回／福利厚生充実,◎U・Iターン歓迎 ◎希望を考慮し、以下勤務地に配属いたします。 資生堂(大阪市内)・KDDI(大…,"月給17万5,000円~+各種手当+賞与 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします …"
3.0,42.0,株式会社夢テクノロジー | 未経験歓迎／新しいチャレンジ応援します！最大3ヶ月の研修有り,全国いずれかのプロジェクト先 【在宅勤務実施中です】※配属先によって異なります。 ※希望エリアを考…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回 【研修期間中(1〜3ヶ月)も…
3.0,43.0,株式会社 夢真 | 東証一部上場企業グループ！【大阪府緊急雇用対策に賛同】,全国いずれかのプロジェクト先 ★あなたの好きな街でずっと働ける！転居を伴う転勤がない働き方ができま…,〈東京/大阪〉月給25万5000円〜 ※上記には30時間分/4万4000円〜の固定残業代含む ※残業時間超過分は別…
3.0,44.0,株式会社ワット・コンサルティング | CADの研修本も出版！★未経験向け研修カリキュラム期間No.1,北海道から九州まで全国各地で大募集！ ※希望を考慮し配属します。 ※UIターンを考えている方も ご…,"月給185,000〜230,000円＋住宅手当＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※住…"
3.0,45.0,株式会社夢真 | 東証一部上場グループの安定性！【大阪府緊急雇用対策に賛同】,全国いずれかのプロジェクト先 ★あなたの好きな街でずっと働ける！転居を伴う転勤がない働き方ができま…,〈東京/大阪〉月給25万5000円〜 ※上記には30時間分/4万4000円〜の固定残業代含む ※残業時間超過分は別…
3.0,46.0,株式会社夢真 | 東証一部上場企業グループ！【大阪府緊急雇用対策に賛同】,全国いずれかのプロジェクト先 ★あなたの好きな街でずっと働ける！転居を伴う転勤がない働き方ができま…,"月給:30万円〜 ※上記には固定残業代(7万7,000円〜/45時間分)含む ※残業時間超過分は別途支給。残業手…"
3.0,47.0,日本eリモデル株式会社 | 勤続1年以上の平均月収60万円【大阪府緊急雇用対策に賛同】,■宇都宮支店：栃木県宇都宮市 ■高崎支店：群馬県高崎市 ■埼玉支店 ：埼玉県さいたま市大宮区 ■千…,[1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…
3.0,48.0,損保ジャパンパートナーズ株式会社 | SOMPOグループ/初年度平均年収400万円/インセン充実/未経験歓迎,☆希望勤務地に配属します！ ☆転居を伴う転勤はありません！ ☆全国の各拠点で募集しています！ ◆埼…,月給25万円〜＋インセンティブ＋諸手当 ※上記金額に損保担当加算給（年額18万円〜144万円、月額1.5万円…
3.0,49.0,株式会社夢真 | 東証一部上場企業グループ！【大阪府緊急雇用対策に賛同】,全国いずれかのプロジェクト先 ★あなたの好きな街でずっと働ける！転居を伴う転勤がない働き方ができま…,〈東京/大阪〉月給25万5000円〜 ※上記には30時間分/4万4000円〜の固定残業代含む ※残業時間超過分は別…
3.0,50.0,株式会社マイナビワークス | 【マイナビキャリレーション】#ネイル可#賞与年2回#リモートあり,【転勤なし！／希望勤務地に配属／全国募集】 【在宅勤務実施中です】 東京都（主として23区内）・神…,"月給 208,000円以上 + 各種手当 + 賞与年2回（首都圏） 月給 193,000円以上 + 各種手当 + 賞与年2回（大…"
6.0,1.0,株式会社ヒューマンウェイブ | 手に職をつける！TV・スマホ等に組込む”半導体”/全国募集,＼全国募集&UIターン歓迎！九州で積極採用中！／ ★引越し代、敷金・礼金などの初期費用支給 ★単身…,＜関東エリア＞ 月給21万円〜40万円＋賞与年2回＋諸手当＋残業代全額支給 ＜関西エリア＞ 月給20万円〜4…
6.0,2.0,ジブラルタ生命保険株式会社 | 社会貢献性の高いビジネス／Web面接可能,勤務地は希望を最大限考慮します 【全国にある営業部への配属】 ※石川県、茨城県、宮城県、静岡県(静…,"月給：234,800円〜375,680円 ※試用期間3ヶ月あり（期間中、待遇に変動なし） ※上記には固定残業代20時…"
6.0,3.0,学校法人三幸学園 | 64専門学校/1大学/1短期大学/2高等学校/保育施設を運営,全国の専門学校／高校／大学／地域広報室での勤務になります。 ※初任地より転居を伴う配属の可能性があ…,"月給229,700円以上 ※年齢・経験・能力等を考慮の上、当校規定により決定します。 ※時間外手当（残業代…"
6.0,4.0,株式会社成学社 | 【大阪府緊急雇用対策に賛同】★創業以来38年間業績右肩上がり★,★転居を伴う転勤なし★ 《関西》大阪／兵庫／京都／滋賀／奈良の各教室 《関東》埼玉／東京／千葉の各…,【関東勤務の場合】 月給23万8400円〜36万3000円+賞与年2回+各種手当 （月25時間相当分の固定残業代とし…
6.0,5.0,オムロン エキスパートリンク株式会社 | 【東証一部上場「オムロン」グループ】★完全週休2日制,【滋賀・京都・東京のオムロングループ事業所内】 または【関西・東海・関東の大手企業など】に配属しま…,■月給20万6500円以上＋諸手当＋賞与 ※経験・能力を考慮し優遇します ※残業代100％支給 モデル年収例…
6.0,6.0,株式会社東邦製作所 | 医療機器の滅菌器の提案、メンテナンスで医療をサポート,下記いずれかの勤務地に配属となります。 《関西営業所》 兵庫県尼崎市杭瀬北新町2-2-14 アクセ…,月給18万円〜25万円 ※年齢、経験、能力を考慮のうえ、決定します。 ※試用期間中(3ヶ月間)の給与の変動…
6.0,7.0,ウィンクルム株式会社 | ***土日祝日休み／未経験歓迎*** 【大阪府緊急雇用対策に賛同】,★転勤なし ■大阪本社／大阪市北区茶屋町1−27 ABC‐MART梅田ビル7F 【JR「大阪駅」よ…,月給25万円〜＋諸手当＋賞与年2回 ※インセンティブ多数あり ※経験・能力・年齢を考慮の上、当社規定に…
6.0,8.0,国際航業株式会社 | 日本アジアグループ株式会社（東証一部上場）のグループ会社,※転勤なし ※U・Iターン歓迎 関西事業所／兵庫県尼崎市西長洲町1-1-15 ⇒ JR「尼崎駅」よ…,月給24万5300円 ※経験・能力などを考慮し、決定します
6.0,9.0,株式会社野元メンテナンスサービス,全国47都道府県の開業希望エリア ※開業をご希望されるエリアにより異なります。,『1人で開業した場合の1ヶ月の収益モデル』 ■売上高／118万円 ・売上原価／5万9000円 ・販売費／7万3000…
6.0,10.0,ウィンクルム株式会社 | 【大阪府緊急雇用対策に賛同】※土日祝日休み／月給25万円以上,★転勤なし ■大阪本社／大阪市北区茶屋町1−27 ABC‐MART梅田ビル7F 【JR「大阪駅」よ…,月給25万円〜＋諸手当＋賞与年4回 ※インセンティブ多数あり ※経験・能力・年齢を考慮の上、当社規定に…
6.0,11.0,株式会社ピーアール・デイリー | 創立56年の歴史と安定性／年間休日120日以上／開所1年目,立地抜群！異国情緒にあふれる憧れの旧居留地エリアで勤務♪ 【神戸オフィス】 兵庫県神戸市中央区明石…,月給25万円以上（一律営業手当含む） 固定残業代3万5000円・月22時間相当を含む。 当該時間数を超える場…
6.0,12.0,株式会社ゴールドウイン | 《東証一部上場企業》★定着率93％★賞与年2回★産休育休制度,＜THE NORTH FACEを中心とした直営店舗にて活躍！＞ ★本人の希望を最大限に考慮します。…,◆販売経験者 月給：20万円以上＋賞与年2回 ◆販売未経験者 月給：18万円以上＋賞与年2回 ※経験・年齢…
6.0,13.0,株式会社ダイキチ,大阪、京都、滋賀（大津市）、兵庫県（神戸市）、愛知県（名古屋市）、岐阜、福岡エリア,【収益モデル例】 ■平均売上：73万円／月 （全FCオーナー874名、2020年5月度、平均年齢52.3歳） ■大阪…
6.0,14.0,株式会社ジャパン・リリーフ | 東証二部上場企業のグループ会社★完全週休2日,★原則転勤なし！U・Iターン歓迎 ★大阪支店・神戸支店で積極採用中！ ◆大阪支店★積極採用中！ 大…,【大阪支店・阪神支店・神戸支店】 月給23万円〜＋業績連動型賞与 ※上記金額には固定残業代（20時間分・…
6.0,15.0,カトウ工機株式会社 | 全国応募歓迎◎引越し費用の半額負担あり＼WEB面接も導入中／,【中部営業所(愛知県名古屋市)】【関西営業所(兵庫県神戸市)】いずれかの拠点 ※ご希望を考慮します…,月給21万円以上 ＋ 賞与年2回 ＋ 各種諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試…
6.0,16.0,エア・ウォーター・マッハ株式会社 | 東証一部／札証上場である「エア・ウォーター株式会社」グループ,≪ U・Iターン歓迎／希望勤務地は確約 ≫ 台東区・名古屋市・大阪市・神戸市のいずれか希望する営業…,月給22万円以上（一律手当含む） ※年齢、経験、能力等を考慮の上、優遇します。 ★試用期間が3ヶ月あり…
6.0,17.0,株式会社京進 | 東証二部上場,【全国で1000ヶ所以上のエリアで出店が可能です】 ※フランチャイズ本部も東京・名古屋・京都に設置…,【年間モデル収益】 年間平均生徒数が60名の場合 ◎年間売上／2733万円 ・授業料、入学料　他 ◎年間諸費…
6.0,18.0,株式会社オービス | 《JASDAQ上場》伸び行く市場を開拓／納得の手当や福利厚生,【転勤なし／勤務地限定採用可】 希望や居住地に応じて（東京・千葉・名古屋・大阪・岡山・福山・広島・…,"—【東京】 月給：245,000〜425,000円（一律地域手当含む）+諸手当 ※月給に9〜16h分の固定残業代（28,0…"
6.0,19.0,株式会社トライアルカンパニー | ★コロナ禍でも影響なし！17年連続売上UPと安定成長中の企業,配属は所在地の都道府県 ※初任地は最寄りの店舗又は希望エリアを優先し配属します ※エリア内勤務、全…,月給20万3千円〜 ※能力、年齢などを考慮の上、決定いたします。 ※試用期間2ヶ月（賃金同一）。 ※上記…
6.0,20.0,株式会社グラニフ | ★Tシャツ×アートにとどまらず、業務拡大中！★残業月5h程度,＼全国で募集！名古屋・熊本・神戸・静岡で積極採用中！／ ★UIターン歓迎 ★本人が希望しない転勤は…,月給22万円〜30万円 ＋諸手当＋賞与 ★チームインセンティブあり★ ※経験・能力・スキルを考慮の上、決…
6.0,21.0,株式会社ピーアール・デイリー | 【創立56年の歴史と安定性】★東京都女性活躍推進大賞の大賞受賞,★転勤なし！東京本社と神戸オフィスにて積極採用中！ 【東京本社】 東京都台東区東上野4-8-1　T…,月給25万円以上（一律営業手当含む）＋ インセンティブ（実績に応じて毎月支給あり！） 固定残業代3万50…
6.0,22.0,株式会社WOOROM. | ★初年度年収500万円可能★賞与年2回！毎月インセンティブ有,【転勤なし／U・Iターン歓迎／マイカー通勤OK♪】 ＊静岡県浜松市、静岡市、兵庫県三木市、岡山県岡…,◆月給28万円〜＋インセンティブ＋賞与（年2回） ※前職給与を最大限考慮致します。 ※経験、能力を考慮…
6.0,23.0,株式会社ナチュレカード | 住まいのトータルサポート｜希望地で働ける！勤務地は原則自由,※自宅から検査現場に直行直帰していただきます。 ＜下記勤務地で業務可能＞ 北海道、宮城県、茨城県、…,完全出来高制（検査種別による） 報酬：2700円〜10700円／1件 ＜月収例＞ 月収50万円／検査数90件、日数…
6.0,24.0,株式会社ピーアール・デイリー | 代理店事業部【DACグループ】 【創立50年以上の歴史と安定性】,★★転勤はありません！★★ 本社／東京都台東区東上野4-8-1 TIXTOWER UENO　15F…,月給25万円以上 ※上記月給額は一律支給の固定残業代 　（3.5万円以上・月22時間分）含む 　該当時間を超…
6.0,25.0,東和産業株式会社 | 【不二工機グループ／冷凍・冷蔵・空調機器が専門／土日休み】,★原則転勤なし／U・Iターン歓迎！ ★盛岡・名古屋・仙台・大宮・高崎・千葉・東京・横浜・甲府・大阪…,月給22万5000円〜26万円＋賞与年2回（※昨年度実績：3.75ヶ月分） ★全エリア同一！東京水準です！ ※試…
6.0,26.0,アマゾンジャパン合同会社 | Amazonの正社員を目指せる/月給25万円以上/年間休日118日,【原則転勤なし】北海道札幌市（札幌駅から地下直結で徒歩5分） UIターンも歓迎！ ＜住所＞ 北海道…,月給25万円以上 ※経験・能力・前職の給与等を考慮し優遇 ※残業代別途支給 ※試用期間3カ月／待遇に…
6.0,27.0,ダイセーエブリー二十四株式会社 | 全国37拠点を展開中 ★every24の緑のマークでお馴染み★,【 転勤ナシ｜勤務地は希望を考慮 】 ●北陸・甲信越エリア 北陸SHC/石川県白山市/3t・4t…,月給24万2550~40万円 *上記は固定残業代42H分(5万7750~7万4400円)を含。超過分別途支給。 *試用期間3ヶ…
6.0,28.0,株式会社ダイヤモンドパーソネル | 【大手電機メーカーのグループ会社】転勤なし／在宅勤務導入中,【兵庫・香川・大阪・和歌山で募集！】 ■兵庫県神戸市 ■兵庫県姫路市 ■香川県丸亀市 ※マイカー通…,【未経験者】月給21〜23万円+残業手当全額支給 【経験者】月給24〜30万円+残業手当全額支給 （モデル年…
6.0,29.0,株式会社夢テクノロジー | 未経験からキャリアアップが叶うオフィスワーク！★残業少なめ★,全国いずれかのプロジェクト先 ※希望エリアを考慮 【在宅勤務実施中です】※配属先によって異なります…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回 【研修期間中(1〜3ヶ月)も…
6.0,30.0,ナッシュ株式会社 | ～メディア注目の『nosh』を全国展開～大阪府緊急雇用対策に賛同,【転勤なし】 尼崎工場：兵庫県尼崎市杭瀬南新町3-4-66 →阪神なんば線「大物駅」より徒歩4分…,"◇月給：16万5,000円 〜 ※残業代は別途全額支給いたします。 ※年齢・経験・能力により優遇します ※試…"
6.0,31.0,株式会社シュゼット・ホールディングス | アンリ・シャルパンティエ、シーキューブ、カサネオ,関東・中部にある、 アンリ・シャルパンティエ、シーキューブ、カサネオの各店舗。 ※希望を考慮の上…,月給：20万7000円〜29万6000円 ※経験・能力を考慮の上、優遇 ※別途残業代は全額支給
6.0,32.0,藤原産業株式会社 | 創業124年、年商590億円の老舗専門商社／オープニング拠点あり！,【札幌商品センターは10月に新規オープン！】 匠台商品センター（兵庫県小野市）、東日本商品センター…,"月給20万5,000円〜 +諸手当 ＋賞与年2回 ※経験・スキルを考慮の上、決定します"
6.0,33.0,株式会社ドン・キホーテ | 東証一部上場PPIHグループ/大阪府緊急雇用対策に賛同/残業少なめ,【関西の店舗】 ※初任地は現住所から通勤可能な店舗 ※初回配属は希望を考慮 ※キャリアアップを目指…,月給22万〜35万円 ※月間30時間の見込み時間外手当含む（固定残業手当3万9600円〜6万2900円） ★小売業…
6.0,34.0,UTエイム株式会社 | 東証一部上場グループ／関西エリアでずっと働く！,【転勤なし】関西エリア(滋賀/京都/大阪/兵庫/奈良/和歌山)への配属 ☆U・Iターン歓迎！勤務地…,月給20万〜30万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間あ…
6.0,35.0,サーモフィッシャーサイエンティフィック株式会社 | ライフサイエンス領域をリードするグローバルカンパニー,★首都圏もしくは西日本(関西)の各プロジェクト先 ★社用車あり 【各プロジェクト先】 ◆首都圏 ・…,月給：35万円〜45万円＋インセンティブ ※あなたの経験やスキルは最大限に考慮いたします。
6.0,36.0,株式会社ピーアップ | 全国200店以上の携帯ショップを展開◇平均年齢30歳◇未経験歓迎,《当社が運営する各キャリアショップにて勤務していただきます》 ・店舗は全国各地に！ご希望を考慮し配…,月給19万1000円以上＋地域手当＋資格手当＋残業手当＋インセンティブ ※月収想定22万以上スタート！ ※上…
6.0,37.0,パーソルマーケティング株式会社 | 【東証一部上場・パーソルグループ】☆正社員登用制度あり,全国の家電量販店、ショップで積極採用！ ＊転勤はありません ＊U／Iターン歓迎 東京 東京都新宿区…,月給:28万円以上 ※募集地域による給与の変動はありません。 ※上記月給には固定残業代（月20時間分／4…
6.0,38.0,株式会社グッドスピード | [東証マザーズ上場] ■9月オープン店舗のNEWスタッフ募集！,2021年9月1日にオープン予定の「MEGA SUV静岡店(仮)」 住所／静岡県静岡市清水区鳥坂5…,"【月給21万円以上】+インセンティブ ※月給には固定残業代40時間分、4万6,098円以上を含む。 　超過分は…"
6.0,39.0,株式会社夢真 | 東証一部上場企業グループ！【大阪府緊急雇用対策に賛同】,★関西いずれかのプロジェクト先 ★あなたの好きな街でずっと働ける！転勤はありません◎ ※U・Iター…,〈大阪〉月給25万5000円〜 ※上記には30時間分/4万4000円〜の固定残業代含む ※残業時間超過分は別途支給…
6.0,40.0,"UTパベック株式会社 | 【東証一部上場グループ】""あだ名""で呼び合う雰囲気が自慢♪",【転勤なし／車通勤OK】大阪府/京都府/兵庫県/岐阜県/三重県/静岡県/和歌山県/神奈川県のパナソ…,"月給181,000円〜250,000円＋各種手当 ※勤務地により異なります ※経験・能力などを最大限考慮して決定し…"
6.0,41.0,神戸合成株式会社 | 電気自動車にも必要とされ続ける「車・バイク用化粧品メーカー」,★関東営業所（東京都文京区）と名古屋営業所（名古屋市名東区）積極採用中★ 東京、愛知、宮城、兵庫、…,★あなたの希望合わせて選択してください ◆エリア限定勤務(転勤なし) 月給20万3000円〜40万5500円 ◆…
6.0,42.0,一般社団法人スポーツリパブリック | 女子プロバレーボールチーム『ヴィクトリーナ姫路』の専属担当,【株式会社姫路ヴィクトリーナ 本社】 兵庫県姫路市白銀町86番地 白鷺白銀町ビル2階 （各線「姫路…,月給40万円以上 + インセンティブ ※経験、能力を考慮し、優遇いたします。 ※試用期間2ヵ月あり（期間中…
6.0,43.0,株式会社大阪ダイケンビルサービス | 【全国各地にグループ会社】転勤なし｜募集人数10名｜賞与年3回,【希望をしっかり考慮】 大阪府・京都府・兵庫県の各拠点 ※複数名のスタッフが常駐する現場への配属で…,月給：19万円〜40万円 ※年齢、経験、能力を考慮の上、優遇します ※電験3種の方、優遇します。
6.0,44.0,株式会社マイナビ | 就職や転職などのあらゆる人生の岐路を支えるサービスを提供,◆東京を中心に全国各地で積極採用中◆ ★各拠点ともに駅チカの職場です！ 【首都圏】 東京（竹橋）本…,"月給19.0万円〜22.8万円 【想定月収 ※月給に手当を含んだ金額】 ◆月収303,035円 正社員26歳、社会人経…"
