page,index,会社名,勤務地,給与
6.0,45.0,株式会社ウェブシャーク | 『Yogibo』の日本総代理店として注目の急成長企業,関東・関西・東海のYogibo Storeが配属先 ※勤務地は可能な限り、相談に応じます ■関東エ…,"月給：31万円〜 ※固定残業代込（30時間分58,829円） 　超過分は別途支給します。 ※年齢・経験・地域に…"
6.0,46.0,株式会社ユキリエ | 【完全週休2日制/年休125日以上】★20～30代活躍中,【転勤なし／U・Iターン歓迎！】 ■本社／東京都千代田区神田錦町1-16-1 いちご神田錦町ビル1…,年俸制276万円〜 ※経験やスキルを考慮の上、当社規定により優遇します。 ※固定残業代（月15時間相当分…
6.0,47.0,株式会社ネオキャリア | ◆介護系人材サービス｜業界トップクラス｜月給30万円｜土日祝休,全国60拠点／35都道府県展開 ◎U・Iターン大歓迎 ◎勤務地は希望を考慮 <東北> 札幌市/盛岡…,月給30万円〜50万円＋インセンティブ（実績に応じ支給） ※年齢・経験・前職の給与を考慮し決定いたしま…
6.0,48.0,株式会社ネオキャリア | ◆介護系人材サービス｜社会に必要不可欠な仕事 ◎土日祝休,全国60拠点／35都道府県展開 ◎U・Iターン大歓迎 ◎勤務地は希望を考慮 <東北> 札幌市/盛岡…,月給30万円〜50万円＋インセンティブ（実績に応じ支給） ※年齢・経験・前職の給与を考慮し決定いたしま…
6.0,49.0,星光ビル管理株式会社 | 【日本生命グループ】創業71年／賞与年2回／資格取得支援あり,希望と居住地を考慮し、兵庫県内のクライアント先へと配属します。 ★神戸を代表する高層ビルや大型オフ…,月給16万9200円〜32万円 + 賞与年2回（2ヶ月分） ※経験、資格、スキルを考慮し決定します。 ※試用期間3…
6.0,50.0,みつわ環境開発株式会社 | 【神戸募集】神戸製鋼所内の火力発電所でインフラを支える！,【転勤ナシ】兵庫県神戸市灘区灘浜東町２ ※神戸製鋼所神戸線条工場内です。,"月給：216,000円〜280,800円 ＜モデル月収＞ ＝残業30時間の場合＝ 341,738円／40代6年目 ＝残業ゼロの…"
7.0,1.0,株式会社三共冷熱 | 年間休日121日◎転勤なし◎U・Iターン支援金など多彩な福利厚生,広島県福山市松浜町4-2-22 【転勤なし／原則転勤なし／マイカー通勤OK】,年俸制：310万〜500万円 + 決算賞与別途支給 ※経験・年齢を考慮の上、優遇します。 ※前職給与を最大限…
8.0,1.0,株式会社FLI | 【大阪府緊急雇用対策に賛同】大手ハウスメーカーとの提携有！,東京本社 └東京都中央区銀座1-6-16銀座1616ビル8F さいたま支店 └埼玉県さいたま市大宮…,月給23万円〜30万円＋インセンティブ＋各種手当 ※前職での給与やスキル・経験を考慮の上で決定します
8.0,2.0,株式会社リンクトラスト | 【大阪府緊急雇用対策に賛同】即戦力は月給30万円～ + インセン,【本社住所】 大阪府大阪市西区靱本町1丁目4番8号　本町KAZビル3F 【アクセス】 Osaka…,《経験者》月給27万円〜＋ 諸手当 + インセンティブ 《経験者 ※即戦力》月給30万円〜＋ 諸手当 + インセ…
8.0,3.0,株式会社ハーディ | 屈指の製品シェアを誇る「ハードグラス工業」のグループ企業,【転勤なし／自転車・バイク通勤OK・マイカー通勤相談可】 ◆本社／兵庫県川西市加茂6丁目101-1…,月給／20万円〜35万円 ※経験・能力・適性などを考慮のうえ、優遇いたします
8.0,4.0,日本物産株式会社 | 【創業103年】内装資材等のインテリア商品を取り扱う専門商社,【転勤なし／勤務地は希望を考慮】 灘センター（神戸市）または加古川営業所（加古郡播磨町）での勤務…,月給23万円〜（一律手当含む）＋ 賞与年2回 + 決算賞与（6年連続、決算賞与支給） ※年齢・経験・スキル…
8.0,5.0,播磨土建工業株式会社 | ＼まもなく創業100年／ 兵庫のインフラを支える優良企業,☆地域密着で働く ☆U・Iターン歓迎 ☆マイカー通勤可（駐車場あり） 【本社】 兵庫県赤穂郡上郡町…,月給／20万円〜40万円 + 諸手当 + 賞与年2回 ※経験、能力、資格を考慮し、加給優遇します。 ※施工管理…
8.0,6.0,CAGAMI合同会社 | 業界経験者が”最後の転職先に選ぶ”総合建設コンサルタント,【希望や自宅からの範囲を考慮して配属いたします】 兵庫県内を中心に、北海道、東北、沖縄以外の 全国…,◆月給35万円〜60万円 ※年齢・経験・スキルを十分考慮の上、 　当社規定により優遇いたします ※希望…
8.0,7.0,社会福祉法人すみれ会 | 医療・福祉・介護・教育と多彩な施設を運営するスミレ会グループ,【2021年4月オープンの新施設（兵庫県神戸市）】 ★3月のご入職、またはオープンまで既存施設での…,"月給15万9,000円〜26万9,000円 ＋ 諸手当 +賞与年2回 ※上記はあくまでも最低保障です ※年齢、経験、能…"
8.0,8.0,株式会社シンワ工業 | 公共施設案件を多数手がけ、安定性抜群◇転勤なし,兵庫県姫路市大津区真砂町32-2 ★転勤なし ★マイカー通勤OK,月給22万〜35万円+諸手当 ※あなたの経験や年齢等を考慮し、支給額を決定します 【給与例】 月収24万円…
8.0,9.0,株式会社ファミリーマート | ★未経験歓迎★ファミリーマートで地域密着！,【希望勤務地近くに配属（直営店がない場合は転居あり）】 ※西日本エリアの直営店（宮崎・鹿児島・沖縄…,月給：26万円以上(一律手当含む)＋各種手当＋賞与年2回 ※上記には固定時間外手当3万円〜(17時間分)を含…
8.0,10.0,株式会社ケーピープラテック | 創立53周年を迎える安定企業｜大手飲食チェーン等と取引,【兵庫（加東市・多可郡多可町）、茨城（古河市）】 ※いずれかの拠点へ配属します！ ※勤務地は希望を…,◆月給21万円以上＋賞与年2回 ※経験・年齢を考慮の上、当社規定により優遇いたします。 ※試用期間2ヶ…
8.0,11.0,株式会社カデックス | ＜優良申告法人・自己資本率80％・無借金経営の安定企業＞,【転勤なし／U・Iターンも歓迎！】 ◆本社… 兵庫県神戸市兵庫区東山町1丁目11番2号 《交通アク…,月給28万円〜45万円 ※年齢・能力・経験・前職給等を考慮の上、決定致します。 ※試用期間6ヶ月あり（待…
8.0,12.0,三和ペイント株式会社 | ☆先輩社員のほとんどが年収UP！裁量大きく活躍可！☆全国募集,＼全国の支店で募集！UIターン歓迎／ ※希望勤務地への配属となります。 ※勤務地によりマイカー通勤…,"月給23万円＋業務手当＋インセンティブ ※上記には固定残業代（月30時間・3万8,000円）を含みます。 　…"
8.0,13.0,株式会社パティシエ エス コヤマ | PATISSIER eS KOYAMA｜充実の福利厚生（社員寮・時短勤務OK等）,《転勤なし！U・Iターン歓迎/社員寮完備/住宅手当あり》 ◆兵庫県三田市ゆりのき台5丁目32-1…,【店長候補】 ◆月給25万円以上 + 各種手当（住宅・家族手当など） 【販売スタッフ】 ■月給18万円以上 …
8.0,14.0,株式会社ランドウィック | 【週休2日制（土・日）でプライベートな時間もしっかり確保】,【配属は希望を考慮！埼玉・神戸での募集】 ※原則転勤なし ※社用車1人1台貸与（通勤使用もOK）…,◆月給20万円〜30万円＋諸手当 ※経験・年齢・能力などを考慮の上、決定いたします。 ※試用期間3ヶ月あ…
8.0,15.0,株式会社コバード | 創業127年！無借金経営の安定基盤／Web面接可※みんな定時退社♪,【転勤なし！UIターン歓迎】 ◆東京支店／千葉県市川市関ヶ島15-9 ※東京メトロ東西線「行徳駅・…,◆月給23万円〜60万円+諸手当 ◆食品機械業界の経験者／月給30万円〜60万円+諸手当 ◆食品機械業界の営業…
8.0,16.0,アエロエンジニアリング株式会社 | 創業42年、立体駐車場メーカー各社と取引する安定企業,◆東京都、千葉県、埼玉県、神奈川県の各拠点の勤務となります。 ※希望を考慮して決定します。 【東京…,月給20万円〜27万円 ※経験・スキルを考慮して決定します。 ※試用期間3ヵ月あり（同条件）
8.0,17.0,株式会社ネクステック | 大手企業との取引実績多数⇒会社情報をCHECK！ポストチャンス大,▼福岡・香川・大阪のいずれかの勤務地へ配属▼ ※希望は最大限考慮します！ ■福岡本社 福岡市博多区…,月給20万円〜 ＋ 諸手当 ※経験・能力・年齢を考慮し、当社規定にて優遇します。 ※待遇条件の詳細につ…
8.0,18.0,株式会社アーサ | 【介護福祉用品のレンタル・リフォーム事業】土日休み/昇給年2回,【転勤なし／U・Iターン歓迎！】 □本社／神戸市西区伊川谷町有瀬624-1 ＜アクセス＞ ◎マイカ…,【実務未経験者】月給20万円〜 + 諸手当 + 賞与（年2回） 【経験者】月給26万円〜45万円 + 諸手当 + 賞与…
8.0,19.0,株式会社イノウエプラスチック | 毎年必ず昇給！キャリア＆年収アップも目指せます,【転勤なし／Ｕ・Ｉターン歓迎！】 兵庫県姫路市別所町家具町126-10 ※マイカー通勤可 ＜アクセ…,◆月給23万〜25万円＋各種手当 　⇒月収例：30万円／1年目 ◆将来的な給与例 月収50万円／年収600万〜70…
8.0,20.0,姫路住設建材株式会社 | パナソニック(株)住建代理店　★転勤なし ★定着率も抜群,☆転勤はありません ☆マイカー通勤可 ☆U・IターンOK 【本社】兵庫県姫路市林田町下伊勢575,月給／19万6000円〜24万3200円＋諸手当 ※年齢、経験、能力を考慮の上、優遇いたします ※固定残業代（20…
8.0,21.0,株式会社神戸製鋼所 | 【KOBELCO／東証一部上場】★山口限定募集！安定環境で長く活躍,※転勤無し・U／Iターン歓迎 ※マイカー通勤OK 【長府製造所】 山口県下関市長府港町14-1 交…,"■月給：17万3,300円〜24万1,000円+各諸手当 【モデル月収例】 25歳／月収26万円（残業月20時間程度、3…"
8.0,22.0,株式会社ネクステック | ■社内100％異業種から転職 ■研修充実 ■月8日以上休み,▼福岡・兵庫・名古屋のいずれかの勤務地へ配属▼ ※希望は最大限考慮します ■福岡本社 福岡市博多区…,月給20万円〜 ＋ 諸手当 ※経験・能力・年齢を考慮し、当社規定にて優遇します。 ※待遇条件の詳細につ…
8.0,23.0,岐阜プラスチック工業株式会社 | プラスチック製品リーディングカンパニー／連結978億円・2400名,《 基本転勤なし｜車通勤OK 》 福島工場・山梨工場・本社工場（岐阜）・兵庫工場 ※お住まいや希望…,"基本給（ 月給 ）174,660円〜254,569円＋各種手当＋賞与2回 ★賞与：年間4.8ヶ月（2020年度組合員実績） …"
8.0,24.0,株式会社ユービーエム | 【大阪府緊急雇用対策に賛同】総合物流大手・ウエダグループ,☆転勤なし ☆マイカー・バイク・自転車通勤OK 【舞洲営業所】 大阪府大阪市此花区北港白津1-1-…,月給／30万円以上(一律手当含む)＋諸手当 ※経験や能力、年齢などを考慮の上で月給額を決定します。 ※…
8.0,25.0,株式会社ハイファイブ | 【大阪府緊急雇用対策に賛同】★残業少なめ　★月給25万円～,★ず〜っと関西で働けます★ ※転勤なし ※自宅から勤務先に直行直帰 ■大阪府／大阪市・東大阪市・柏…,月給25万円〜+各種手当（高収入を目指せます） ※あなたの年齢・スキルに合わせて決定します ※試用期間…
8.0,26.0,株式会社ニッショー・エステート | 【働きやすさが向上中！日曜日が定休日の不動産管理会社です】,《転居を伴う転勤なし！地域密着で活躍♪》 ※車通勤OK ※U・Iターン歓迎 本社／兵庫県姫路市飾磨…,固定給制 月給22万円以上 + 残業・家族・住宅・資格手当など ※宅建資格をお持ちの方は別途2万円を支給！…
8.0,27.0,旭化成ホームズ株式会社 | 選考前のWEB転職セミナーを月2回開催／大阪府緊急雇用対策に賛同,【全国の各支店】 ■東京営業本部 東京都：墨田区／豊島区／新宿区／目黒区／千代田区／立川市 山梨県…,"月給22万5,800円以上＋時間外手当・各種手当＋賞与年2回 ◎昨年度の賞与実績／月給7ヶ月分 ◎上記は新卒…"
8.0,28.0,株式会社セリオ | ★業界大手の電動カート・電動車いす・電動自転車の専門会社★,＜1＞営業：全国36ヶ所の営業所(勤務地応相談！転勤可能者優遇)◎積極採用中 ＜2＞店舗担当：★印…,"月給20万円〜30万円（一律手当含む） 固定残業代（2万1,600円〜3万2,400円含む） ※固定残業代は15時間分…"
8.0,29.0,株式会社デザートランド | 間もなく設立50周年！全国に展開する手作りデザート専門メーカー,◆◆ 転勤なし・家賃補助制度あり ◆◆ ◎九州工場／ 福岡県糟屋郡須恵町大字植木1703 ≪ アク…,"25歳以上：月給231,570円〜 + 諸手当 + 賞与年2回 *18歳以上：月給193,770円〜 + 諸手当 + 賞与年2回 …"
8.0,30.0,ジンマー・バイオメット合同会社 | 整形外科分野でのマーケットシェアは世界トップクラス,【採用エリア／自宅を拠点にした直行直帰スタイル】 東京都 埼玉県 神奈川 千葉県 石川県 富山県…,年俸制370万〜670万円 ※経験・スキルを考慮して決定します。 ※毎月年俸の1/12を支給します。 ★別途セ…
8.0,31.0,株式会社平山 | 【大阪支店】JASDAQ上場の平山ホールディングスグループ中核企業,車・バイク・自転車・電車通勤OK！ ＜積極採用中＞ ◆大阪府堺市 ◆大阪府枚方市 大阪府、滋賀県、…,日給月給18万円〜28万円＋諸手当＋賞与 最大46万円の定着金あり！ ※給与に関しては勤務地により変動しま…
8.0,32.0,社会福祉法人 豊中福祉会,【転勤なし！最寄り駅から徒歩圏内】 ■ローズガーデン甲子園：兵庫県西宮市甲子園九番町10-50 《…,"■月給23万5,000円以上＋各種手当＋賞与年2回 ※経験、能力を考慮の上、優遇いたします ▼経験に応じて …"
8.0,33.0,株式会社徳潤 | 《カラダの悩みに寄り添う専門メーカー》月給26万円～+賞与年2回,【転勤なし／U・Iターン歓迎！】 ★阪神「神戸三宮」駅より徒歩5分！ ■兵庫県神戸市中央区御幸通4…,■月給26万円〜 + 諸手当 + 賞与(年2回) ★待遇条件の詳細については、 　面接でご相談ください！ ※上…
8.0,34.0,学校法人上智学院 | 【上智大学】※応募 9/3(金)消印有効,所在地／東京都千代田区紀尾井町7-1 ※将来的に、神奈川県・大阪府・兵庫県・広島県・福岡県のキャン…,"大学卒初任給：月給22万8100円〜＋期末手当(年2回) ※29歳例 月給294,700円(税込)＋期末手当(職務経験者…"
8.0,35.0,クモノスコーポレーション株式会社 | 【大阪府緊急雇用対策に賛同】世界トップクラスの3D測量技術！,※U・Iターン歓迎！ ◆大阪本社 大阪府箕面市船場東2-1-15 ◆尼崎支店 兵庫県尼崎市築地2-…,月給20万円以上 ※経験・能力を考慮の上決定致します。 ※残業代別途全額付与
8.0,36.0,株式会社リクルートスタッフィング | 安定企業で働ける★応募時に志望理由&自己PRがなくても大丈夫♪,＜転勤なし！＞ ◆大阪府、兵庫県、京都府の企業 (大阪、梅田、京橋、淀屋橋、心斎橋、新大阪など駅近…,大阪府：月給19万2千円〜＋賞与年2回＋残業代 兵庫県：月給18万2千円〜＋賞与年2回＋残業代 京都府：月給…
8.0,37.0,吉川工業株式会社 | グループ連結売上600億円超え！2020年に100周年を迎えました！,【 転勤なし 】 日鉄ステンレス山口製造所光エリア構内 山口県光市島田3434番地 ※マイカー通勤…,"月給162,100円〜191,640円 ＋ 諸手当 ※モデル月収例／ 月収27万円（ 入社1年目／31歳 ） ┗ 内訳：月給…"
8.0,38.0,吉川工業株式会社 | グループ連結売上600億円超え！2020年に100周年を迎えました！,【 転勤なし 】 北海道室蘭市仲町16番地1 ※マイカー通勤OK ※U・Iターン歓迎 ★独身寮をご…,"月給174,000円〜250,000円 ＋ 諸手当 ※入社1年目のモデル月収例※ 30歳／扶養あり：月収24万円 20歳／…"
8.0,39.0,株式会社神戸製鋼所 | 東証一部上場企業／遠方にお住まいの方はWEB面接も可！,★三重県いなべ市 ★入社時の引っ越し費用は会社負担！ ★遠方の方はWEB面接可！ ★独身寮完備 ★…,"月給：173,560円〜＋各種手当 ※試用期間2ヶ月あり（期間中待遇の変動なし） ※残業手当有（全額支給） …"
8.0,40.0,株式会社サンビルダー | 創業40年以上、不動産事業で黒字経営を継続中！完全週休2日制,【本社】神戸市中央区旗塚通6丁目2番2号サンビルダー55ビル ＜アクセス＞ ◆JR・阪急「春日野道…,"◆年俸制／270万円〜420万円+別途手当(残業代全額支給) （月支給額／22万5,000円〜35万円+別途手当(残業…"
8.0,41.0,株式会社共和コーポレーション | 東証2部上場　◇AM施設「APINA」やボウリング場等を運営,全国の「アピナ」他　各店舗 ※最初の勤務地は希望エリアの配属となります。 ※勤務エリア限定の採用も…,月給20万〜33万円 ＋ 通勤手当 ※経験、スキル、前職の状況等を考慮の上で決定します。
8.0,42.0,中西不動産株式会社 | 地域最大級の物件情報を保有！地域密着で長いお付き合いが可能！,【本社または大久保店のいずれかに配属】 ※転勤なし ※U・Iターン歓迎 本社／兵庫県姫路市南駅前町…,月給25万円以上＋諸手当＋インセンティブ ※経験や年齢などに関係なく、チャンスがあります！ ※成果に…
8.0,43.0,株式会社ウィルウェイ | 馬渕教室/東進衛星予備校/馬渕個別/キッズクラブ/epion,個別指導「馬渕個別」の各教室 ●大阪府内（45校） ●奈良県内（6校） ●兵庫県内（8校） ●京都…,●経験者 月給30万円以上 ※30時間分の固定残業代5万8000円を含む。超過分は別途支給。 ※37.5時間分の…
8.0,44.0,布亀株式会社 | 【大阪府緊急雇用対策に賛同】未経験でも月給28万円を確約,希望を配慮して全国の拠点のいずれかに配属します ※転居を伴う転勤はありません。 ※通勤車貸与あり／…,月給28万円 または[月給23万円＋インセンティブ]の多い方を支給 ※入社1年間は育成期間として上記給与、…
8.0,45.0,株式会社明藤リンク | ◎経験者：月給35万円以上 ◎大規模案件実績多数 ◎社宅あり,【 配属先は希望を考慮、社員寮、寄宿舎の利用OK! 】 全国47都道府県の各プロジェクト先にて勤務…,経験者：月給35万円〜65万円 未経験：月給25万円〜 ※あなたの経験・能力を考慮の上、優遇いたします。 …
8.0,46.0,株式会社キユーソー流通システム | 【東証一部上場】★未経験歓迎★育産休取得実績多数,【茨城・兵庫・佐賀募集！／転勤なし／マイカー通勤OK】 下記事業所の中で希望する営業所となります。…,"月給189,800円〜221,800円 ※年齢・経験・能力を考慮して決定します。 ※試用期間3ヵ月あり（待遇に変化…"
8.0,47.0,日本フレーバー工業株式会社 | 飲料などの香りをつくる“香料”のパイオニアメーカー,■兵庫県三田市テクノパーク21-8 ※U・Iターン歓迎、転勤はありません ※マイカー通勤可 【アク…,■月給／19万8200円〜24万7400円+諸手当+賞与年2回 ※経験・年齢を考慮の上、当社規定により優遇します。…
8.0,48.0,株式会社夢真 | 【大阪府緊急雇用対策に賛同】★入社祝い金10万円支給,全国のプロジェクト先 ★希望エリアを考慮＆転勤なし★ ※U/Iターン歓迎！ 好きな街で長く腰を据え…,基本給月給65万〜100万円 ★前職給与を考慮＆残業代100％支給(1分単位)★ ※年齢、経験、能力を考慮し、…
8.0,49.0,株式会社アサヒファシリティズ | 【竹中工務店グループで安心の無借金経営◎】★名古屋支店の募集,◆名古屋市を中心としたビル・商業施設・学校・病院等 ※勤務地は勤務可能圏内にて決定 ※勤務地への直…,◆月給18万5000円〜26万4800円/基本給 ※経験・資格・年齢等を考慮し、基本給を決定しますが 保有資格・…
8.0,50.0,株式会社アクレット | 世界的メーカーと直接取引｜”多言語対応サイト”制作で実績多数,■□ オフィスは旧居留地内＆駅近 □■ 兵庫県神戸市中央区江戸町104 江戸町104ビル 3F ☆…,月給／20万円〜35万円 + 賞与年2回 ※経験、能力を考慮し、優遇いたします。 ※試用期間6ヶ月あり（期間…
9.0,1.0,株式会社アクレット | 【世界的メーカーと直接取引】「Drupal」に強い希少な会社！,■□ オフィスは旧居留地内＆駅近 □■ 兵庫県神戸市中央区江戸町104 江戸町104ビル 3F ☆…,月給／20万円〜35万円 + 賞与年2回 ※経験、能力を考慮し、優遇いたします。 ※前職給与を十分に考慮しま…
9.0,2.0,株本建設工業株式会社 | 【公共工事の元請け◎総合建設会社】☆ここ数年離職者↓の好環境,☆U・Iターン歓迎 ☆マイカー通勤可（無料駐車場あり） ☆現場へは直行直帰となります。 【本社】兵…,"月給／19万6,000円〜39万円 + 賞与年3回（昨年実績4か月分） ※経験、能力を十分考慮し、優遇いたします …"
9.0,3.0,東洋工業株式会社 | 【大阪府緊急雇用対策に賛同】★土日休み／働き改革実施中！,★大阪・神戸での募集★ 【貸与する営業車で通勤!直行直帰OK(担当は関西エリア一円)】 ◆大阪営業…,◆月給：23万円〜30万円 ＋ 諸手当 ※経験・年齢を考慮の上、当社規定により優遇します ※試用期間6ヶ月…
9.0,4.0,株式会社パティシエ エス コヤマ | PATISSIER eS KOYAMA｜WEB面接OK/社員寮あり/遠方応募も大歓迎,《転勤なし！U・Iターン歓迎/社員寮完備/住宅手当あり》 ◆兵庫県三田市ゆりのき台5丁目32-1…,月給20万円以上 + 各種手当（住宅・皆勤・家族手当など） ※前職給与・スキル・経験・年齢を考慮のうえ…
10.0,1.0,一般社団法人 全日検 | 《未経験OK★年休120日》2021年10月1日に入職できる方を募集！,UIターン＆遠方応募も大歓迎！ ★飛島 or 名古屋港の事務所での勤務です。 飛島：愛知県海部郡飛…,《 月給17万200円以上 》 ★あなたの経験・年齢・能力などを考慮して、決定します。 ★当初1年間は契約…
10.0,2.0,オリエント住宅販売株式会社 | ◆広告投資に積極的!◆20代～30代活躍中◆未経験スタート多数,【配属は希望を考慮！本店（大阪市）・堺店（堺市）・東大阪店（東大阪市）・兵庫店（西宮市）での募集で…,月給25万円〜＋歩合給 【年収例】 876万円／入社2年6ヶ月（26歳） ※月給28万円＋歩合給45万円（売買月2…
10.0,3.0,株式会社ティゲスファスナーテクノロジー | 【TIGGESグループ】世界トップクラスの外資系ネジメーカー,■神戸市東灘区向洋町東3丁目 ※U・Iターン歓迎 ※転勤はありません 【交通アクセス】 六甲ライナ…,■月給：20万円以上＋諸手当 ※経験・年齢を考慮の上、当社規定により優遇します ※3ヶ月間は研修期間（…
10.0,4.0,新教育総合研究会株式会社 | 大阪府緊急雇用対策に賛同｜ホワイト企業大賞など多数受賞歴あり,【転勤なし／大阪本社】 ◆大阪市北区東天満1-10-12 エル・エスト不動産 天満ビル2F・7F,"◆月給23万500円〜 ※経験・スキル・能力を考慮の上、決定します ※上記月給には固定残業代5万5,000円〜…"
10.0,5.0,帝産観光バス株式会社 | 【「働きやすい職場認証制度」認証】Web面接OK／社宅あり（※）,【京都・大阪・神戸・奈良のいずれかに配属します】 ★基本、転勤はありません。 ★勤務地はご希望を考…,"月給／30万円〜40万円（一律手当含む） ※2017年4月1日から基本給13,000円アップしました！ ※経験や能…"
10.0,6.0,株式会社グッドスタッフ | ◆WEB面接OK◆積極的に新規事業展開／20代活躍中！役職者多数,★全国募集／WEB面談随時実施中！《土日：夜間も応相談》★ 首都圏勤務、関西圏勤務、中部圏勤務、転…,"月給：206,786円〜 ※経験・年齢などを考慮し、決定します。 ※上記には20時間分の固定残業代（26,786円…"
10.0,7.0,コーリュウ株式会社 | 新しい雑貨の企画・提案｜年間休日126日！転勤なし＆残業少なめ,◇本社／兵庫県神戸市長田区細田町4丁目1-20 ※転勤はありません <アクセス> JR「新長田」駅…,月給：24万円〜32万円 ＋ 諸手当 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮の上、優遇い…
10.0,8.0,伸栄産業株式会社 | ＼設立60周年・厚木営業所が募集／◎残業月20h ◎年間休日117日,★原則転勤なし／「本厚木駅」より徒歩15分／1人1台社用車支給！／ 【厚木営業所】 神奈川県厚木市…,【月給21万5000円〜25万5000円】 ※上記月給には、定額時間外手当（3万9700円〜7万500円／31.33〜52.84時…
10.0,9.0,株式会社土屋 | 《 実質年休110日以上 》自宅近隣へ直行直帰／服装・髪型自由！,＼ 自宅から直行直帰スタイル ／ ★中四国エリア限定採用 ★会社都合での転勤ナシ！ ▼事業所 岡山…,"月給 18万円〜 + 手当 ※年齢、経験、能力を考慮の上、優遇します。 ※夜勤手当5,000円/回は別途支給。 …"
10.0,10.0,株式会社MKテクノス | 大手一流企業との取引実績多数！プラントに特化した新設企業,【希望を最大限考慮のうえ決定します】 ◎北海道・東北・関東・東海・北陸・関西・中国地方・九州の各プ…,【未経験者】 ◆月給24万円以上＋残業代＋一律手当 【経験者】 ◆月給40万円以上＋残業代＋一律手当 ※…
10.0,11.0,株式会社シャトレーゼ | ★年間休日110日 ★賞与年2回★産休・育休実績有★WEB面接可,【神戸工場募集！】 ■神戸工場（兵庫県神戸市） 兵庫県神戸市西区池上3丁目5-3,"月給17万7,800円〜20万9,800円 ※年齢・経験を考慮して決定します。 ※試用期間2ヶ月あり、その間の給与…"
10.0,12.0,住友林業ホームエンジニアリング株式会社 | 東証一部上場・住友林業株式会社100％出資のグループ会社,◆東京発注情報センター／東京都渋谷区初台1-34-14　初台ＴＮビル2階 ◆兵庫発注情報センター／…,"月給24万円〜30万円 ※上記には見込み残業代（月26時間分／50,000円〜)含む。 超過分は別途支給致します"
10.0,13.0,株式会社土屋 | 《 実質年休110日以上 》自宅近隣へ直行直帰／服装・髪型自由！,＼ 自宅から直行直帰スタイル ／ ★北海道・東北エリア限定採用 ★会社都合での転勤ナシ！ ▼事業所…,月給 18万円〜 + 手当 ※福島県のみ上記＋地域手当2万円を加算。 ※年齢、経験、能力を考慮の上、優遇し…
10.0,14.0,株式会社ARTE | 【大阪府緊急雇用対策に賛同】事業開始13期目！成長企業の一員に,★転居を伴う、転勤はありません #新店舗OPEN予定あり！ 兵庫・大阪のいずれかのキングラムの店舗…,月給22万2900円以上＋諸手当＋賞与（年4回） ※経験・年齢の給与などを考慮の上、決定します。 ※試用期…
10.0,15.0,株式会社土屋 | 《 実質年休110日以上 》自宅近隣へ直行直帰／服装・髪型自由！,＼ 自宅から直行直帰スタイル ／ ★関東エリア限定採用 ★会社都合での転勤ナシ！ ▼事業所 東京都…,【南関東・東京勤務】 月給 22万円〜 + 手当 【北関東勤務】 月給 20万円〜 + 手当 ※年齢、経験、能力…
